id,speaker,name,scene,event,file,line,text,chars,seconds,recorded
v_rowell_biblia_02,rowell,ロウェル,biblia,biblia_arrival,src/events/final_biblia.js,57,ノアさん。あんたは、覚えているのか。,18,3.3,
v_rowell_biblia_03,rowell,ロウェル,biblia,biblia_arrival,src/events/final_biblia.js,61,大書庫の中は、院長の書記たちでいっぱいだ。3階の封印の扉は、おれの手帳の言葉で開く。,42,6.5,
v_rowell_biblia_04,rowell,ロウェル,biblia,biblia_arrival,src/events/final_biblia.js,62,おれは、町の北の門で待つ。支度ができたら、来てくれ。,26,4.3,
v_rowell_seal_01,rowell,ロウェル,seal,archive_3_rowell,src/events/final_archive.js,85,待たせたな。……ここが、封印の扉だ。,18,3.5,
v_rowell_seal_02,rowell,ロウェル,seal,archive_3_rowell,src/events/final_archive.js,89,「白き書の扉よ、名を持つ者のために開け」,18,2.8,
v_rowell_seal_03,rowell,ロウェル,seal,archive_3_rowell,src/events/final_archive.js,103,院長の書記たちか……。,11,2.3,
v_rowell_seal_04,rowell,ロウェル,seal,archive_3_rowell,src/events/final_archive.js,104,ここは、おれが引き受ける。行け、語り部！,20,3.5,
v_rowell_ending_01,rowell,ロウェル,ending,archiveGate,src/systems/ending.js,313,帰りましょう、院長。……ミラさんの話を、聞かせてください。,29,5,
v_berna_prologue_01,berna,ベルナ（師匠）,prologue,roa_house_intro,src/events/prologue_roa.js,30,おはよう。今日は大事な日だよ。,15,2.8,
v_berna_prologue_02,berna,ベルナ（師匠）,prologue,roa_house_intro,src/events/prologue_roa.js,31,語り部の名簿に、あなたのことを書いておかないとね。,25,4,
v_berna_prologue_03,berna,ベルナ（師匠）,prologue,roa_house_intro,src/events/prologue_roa.js,32,さあ、見習いさん。あなたがどんな子だったか、もう一度聞かせておくれ。,34,5.4,
v_berna_prologue_04,berna,ベルナ（師匠）,prologue,roa_house_intro,src/events/prologue_roa.js,35,支度ができたら、わたしの書見台までおいで。話しておきたいことがあるんだ。,36,5.7,
v_berna_lute_01,berna,ベルナ（師匠）,lute,lute_departure,src/events/prologue_lute.js,148,これは、あなたの年代記だよ。語り部はみんな、自分の年代記を持って旅に出るんだ。,39,6.1,
v_berna_lute_02,berna,ベルナ（師匠）,lute,lute_departure,src/events/prologue_lute.js,150,それから、これもお持ち。語り部の羽ペンと、帰り道の鈴だよ。,29,4.7,
v_berna_lute_03,berna,ベルナ（師匠）,lute,lute_departure,src/events/prologue_lute.js,163,この大陸には八つの大きな伝承がある。その全部が、いま白紙になりかけている。,37,5.8,
v_berna_lute_04,berna,ベルナ（師匠）,lute,lute_departure,src/events/prologue_lute.js,164,全部を語り直して、年代記を書き上げなさい。それが、あなたの修業の仕上げだよ。,38,5.9,
v_berna_lute_05,berna,ベルナ（師匠）,lute,lute_departure,src/events/prologue_lute.js,170,どこから回ってもいい。あなたの足で、あなたの順番で語り直していけばいいのさ。,38,5.9,
v_berna_roa_01,berna,ベルナ（師匠）,roa,story_final_roa,src/events/final_roa.js,71,そちらのお嬢さんは……どこかで……。,18,3.5,
v_berna_roa_02,berna,ベルナ（師匠）,roa,story_final_roa,src/events/final_roa.js,86,おかえり。……よく、ここまで書いたね。,19,3.6,
v_berna_roa_03,berna,ベルナ（師匠）,roa,story_final_roa,src/events/final_roa.js,89,始まりの年代記は、ビブリアの大書庫の頂にある。わたしの師匠が、そう言っていた。,39,6.1,
v_berna_roa_04,berna,ベルナ（師匠）,roa,story_final_roa,src/events/final_roa.js,103,これを持ってお行き。わたしが若いころ、師匠からもらった首飾りだよ。,33,5.3,
v_berna_ending_01,berna,ベルナ（師匠）,ending,roaTale,src/systems/ending.js,349,これは、ある語り部の物語。,13,2.4,
v_berna_ending_02,berna,ベルナ（師匠）,ending,roaTale,src/systems/ending.js,359,あるとも。三人の勇者が、魔王を倒したお話がね。,23,3.9,
v_berna_ending_03,berna,ベルナ（師匠）,ending,someDaysLater,src/systems/ending.js,374,それは、また別のお話。,11,2.1,
v_lazaro_archive_01,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,170,よく来ましたね、語り部。,12,2.2,
v_lazaro_archive_02,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,171,二十年前、伝承戦争で娘のミラを失いました。,21,3.4,
v_lazaro_archive_03,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,172,どちらの伝承が正しいか……そんなことのために。,23,3.9,
v_lazaro_archive_04,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,173,忘れてしまえば、争いも悲しみも、初めから無かったことになる。,30,4.7,
v_lazaro_archive_05,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,174,それが救いなのですよ。……それでも、あなたは書くのですね。,29,5,
v_lazaro_archive_06,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,175,ならば、その筆を折らせていただきましょう。,21,3.4,
v_lazaro_archive_07,lazaro,ラザロ（大書記）,archive,archive_5_lazaro,src/events/final_archive.js,179,……なぜだ。忘れたはずのあの子の笑顔が……今になって……。,29,5.4,
v_lazaro_ending_01,lazaro,ラザロ（大書記）,ending,archiveGate,src/systems/ending.js,309,……ミラ。ああ、ミラ……。,13,3.1,
v_king_shades_01,king,虚ろの王（ラスボス）,shades,archive_4_boss,src/events/final_archive.js,124,海の向こうの、名を忘れられた勇者たちよ……。,22,3.8,
v_king_archive_01,king,虚ろの王（ラスボス）,archive,archive_5_lazaro,src/events/final_archive.js,183,よくやった、ラザロ。おまえの悲しみは、じつに美味であった。,29,4.7,
v_king_naming_01,king,虚ろの王（ラスボス）,naming,naming,src/events/final_archive.js,240,名を……呼んだな……！,11,2.6,
v_king_altar_01,king,虚ろの王（ラスボス）,altar,archive_6_boss,src/events/final_archive.js,270,名もなく、形もなく、われはすべてを白紙に還す。,23,3.7,
v_king_altar_02,king,虚ろの王（ラスボス）,altar,archive_6_boss,src/events/final_archive.js,278,無駄だ。名なきものは、消えぬ。,15,2.9,
v_king_altar_03,king,虚ろの王（ラスボス）,altar,archive_6_boss,src/events/final_archive.js,281,また来たか……。名なきものは、消えぬ。,19,3.6,
v_nemrea_ending_01,nemrea,ネムレア（名を得た虚ろの王）,ending,voidHall,src/systems/ending.js,270,名を……呼ばれたのは……はじめてだ……。,20,4,
v_nemrea_ending_02,nemrea,ネムレア（名を得た虚ろの王）,ending,voidHall,src/systems/ending.js,271,……ああ……眠い……。,11,2.8,
v_noa_biblia_01,noa,ノア,biblia,biblia_arrival,src/events/final_biblia.js,56,あなたたち、この町の人じゃないわね。……ロウェル？,25,4.4,
v_noa_biblia_02,noa,ノア,biblia,biblia_arrival,src/events/final_biblia.js,58,ミラに教わった歌を、毎晩歌っていたから……わたしだけ、忘れずにいるの。,35,5.6,
v_noa_biblia_03,noa,ノア,biblia,biblia_arrival,src/events/final_biblia.js,59,ここは記録院の町、ビブリア。でも、みんな大事なことを忘れてしまったの。,35,5.5,
v_noa_biblia_04,noa,ノア,biblia,biblia_arrival,src/events/final_biblia.js,60,院長さまのお嬢さん……ミラは、わたしの友だちだった。二十年前の戦争で……。,37,6.3,
v_noa_biblia_05,noa,ノア,biblia,biblia_noa,src/events/final_biblia.js,111,院長さまに……会ったの？……そう。ミラのことを、思い出してくれたのね。,35,6.2,
v_noa_biblia_06,noa,ノア,biblia,biblia_noa,src/events/final_biblia.js,113,ミラはね、歌が好きな子だった。「名前は、呼ばれるためにあるのよ」って、よく言ってたわ。,41,6.4,
v_noa_ending_01,noa,ノア,ending,bibliaMorning,src/systems/ending.js,333,ミラ。あなたの歌、みんなに届いたよ。,18,3.3,
v_valzard_oblivion_01,valzard,ヴァルザード（魔王の残影）,oblivion,oblivion_3_echo,src/events/oblivion.js,85,……ヴァルザード……それが、われの名であったか。,24,4.3,
v_valzard_oblivion_02,valzard,ヴァルザード（魔王の残影）,oblivion,oblivion_3_echo,src/events/oblivion.js,86,三百年……忘れられてなお、恐れだけが残った……。,24,4.3,
v_valzard_oblivion_03,valzard,ヴァルザード（魔王の残影）,oblivion,oblivion_3_echo,src/events/oblivion.js,93,光の……紋章……。,9,2.3,
v_elm_forest_01,elm,森の主エルム,forest,elder_tree_2_boss,src/events/region1_forest.js,340,……思い出した。わたしは、この森を守ると誓ったのだった。,28,4.8,
v_elm_forest_02,elm,森の主エルム,forest,elder_tree_2_boss,src/events/region1_forest.js,341,千年前の火の夜……。燃える森を前に、わたしはこの木に宿り、火を封じた。,35,5.8,
v_elm_forest_03,elm,森の主エルム,forest,elder_tree_2_boss,src/events/region1_forest.js,342,村の者たちは、歌でわたしの眠りを守ると約束してくれた。,27,4.2,
v_elm_forest_04,elm,森の主エルム,forest,elder_tree_2_boss,src/events/region1_forest.js,343,歌が絶えて、わたしは約束を忘れた。森を閉ざし、人を迷わせてしまった……。,36,5.9,
v_elm_forest_05,elm,森の主エルム,forest,elder_tree_2_boss,src/events/region1_forest.js,344,語り部よ、礼を言う。,10,2,
v_elm_forest_06,elm,森の主エルム,forest,elder_tree_2_boss,src/events/region1_forest.js,345,森の道は、もう閉ざさぬ。木こりたちも、じきに村へ帰れるだろう。,31,5,
v_hazal_tomb_01,hazal,ハザル王（砂の王）,tomb,sand_tomb_3_boss,src/events/region2_tomb.js,143,……わが名を……わが名を、返せ……！,18,3.7,
v_hazal_tomb_02,hazal,ハザル王（砂の王）,tomb,sand_tomb_3_boss,src/events/region2_tomb.js,153,……わが名を……だれか……。,14,3.2,
v_hazal_tomb_03,hazal,ハザル王（砂の王）,tomb,sand_tomb_3_boss,src/events/region2_tomb.js,161,ハザル……そうだ、それがわたしの名だ。,19,3.4,
v_hazal_tomb_04,hazal,ハザル王（砂の王）,tomb,sand_tomb_3_boss,src/events/region2_tomb.js,162,民は、約束を覚えていてくれたのだな……。,20,3.5,
v_giant_peak_01,giant,氷の巨人,peak,frost_peak_2_boss,src/events/region3_frost_peak.js,51,……ここより上へは、誰も通さぬ……。,18,3.5,
v_neve_peak_01,neve,白竜ネーヴェ,peak,frost_peak_3_boss,src/events/region3_frost_peak.js,106,……去れ……人の子よ……。この峰に、もはや語るべき物語はない……！,33,6.2,
v_neve_peak_02,neve,白竜ネーヴェ,peak,frost_peak_3_boss,src/events/region3_frost_peak.js,121,……あたたかい。人の子らは、わたしを忘れてはいなかったのか。,30,5.1,
v_neve_peak_03,neve,白竜ネーヴェ,peak,frost_peak_3_boss,src/events/region3_frost_peak.js,122,吹雪は、わたしが鎮めよう。語り部よ、礼を言う。,23,3.9,
v_melda_manor_01,melda,メルダ（霧の館の魔女）,manor,mist_manor_2_melda,src/events/region4_dungeons.js,82,……驚かせてしまったわね。わたしはメルダ。この館の、昔の主よ。,31,5.4,
v_melda_manor_02,melda,メルダ（霧の館の魔女）,manor,mist_manor_2_melda,src/events/region4_dungeons.js,83,わたしは子どもたちをさらってなどいない。霧が、わたしの姿をまねているの。,36,5.7,
v_melda_manor_03,melda,メルダ（霧の館の魔女）,manor,mist_manor_2_melda,src/events/region4_dungeons.js,84,昔、沼の霧から魔物があふれたとき、わたしは七つの鐘を沈めて、鐘の音で霧を封じたの。,41,6.1,
v_melda_manor_04,melda,メルダ（霧の館の魔女）,manor,mist_manor_2_melda,src/events/region4_dungeons.js,85,でも、町の人たちが鐘の歌を忘れて、鐘は鳴らなくなった……。,29,4.8,
v_melda_manor_05,melda,メルダ（霧の館の魔女）,manor,mist_manor_2_melda,src/events/region4_dungeons.js,86,沼の鐘を鳴らして。これは鐘の鍵。そして、これが鐘の歌よ。,28,4.8,
v_melda_marsh_01,melda,メルダ（霧の館の魔女）,marsh,bell_marsh_1_boss,src/events/region4_dungeons.js,208,ありがとう、語り部さん。これでまた、町の朝に鐘が鳴るわ。,28,4.6,
v_mistwitch_marsh_01,mistwitch,霧食らい（魔女の姿）,marsh,bell_marsh_1_boss,src/events/region4_dungeons.js,187,……オイデ……コドモタチ……ワスレラレタ……カネノ……ウタ……。,32,6.3,
v_marina_nerei_01,marina,マリナ,nerei,nerei_marina_song,src/events/region5_isles.js,138,……ああ、この歌だよ。,11,2.3,
v_marina_pier_01,marina,マリナ,pier,nerei_marina_song,src/events/region5_isles.js,171,あの人の船だ……。,9,2.1,
v_marina_dawn_01,marina,マリナ,dawn,ghost_ship_3_boss,src/events/region5_isles.js,369,おかえりなさい、グレン。,12,2.2,
v_marina_dawn_02,marina,マリナ,dawn,ghost_ship_3_boss,src/events/region5_isles.js,386,……ありがとう。あの人は、やっと帰ってきた。,22,4,
v_glen_ship_01,glen,グレン船長,ship,ghost_ship_3_boss,src/events/region5_isles.js,332,♪　霧の海でも……迷い…………続きが、出てこない……。,27,4.9,
v_glen_ship_02,glen,グレン船長,ship,ghost_ship_3_boss,src/events/region5_isles.js,333,おれは……どこへ帰るんだった？誰が、待っていた……？思い出せない……思い出せない！,41,7.2,
v_glen_ship_03,glen,グレン船長,ship,ghost_ship_3_boss,src/events/region5_isles.js,351,……マリナ。そうだ、おれは帰ると約束したんだ。,23,4.2,
v_glen_ship_04,glen,グレン船長,ship,ghost_ship_3_boss,src/events/region5_isles.js,352,岬の灯は、あいつだったのか。六十年も、待たせちまったな。……帰ろう。,34,5.9,
v_glen_dawn_01,glen,グレン船長,dawn,ghost_ship_3_boss,src/events/region5_isles.js,371,ただいま、マリナ。,9,1.8,
v_guardian_mine_01,guardian,鉄の番人,mine,deep_mine_3_boss,src/events/region6_mine.js,177,……誓いを忘れた者よ。七の層より下を掘った者よ。,24,4.3,
v_guardian_mine_02,guardian,鉄の番人,mine,deep_mine_3_boss,src/events/region6_mine.js,178,鍛冶神との約束により、われは、この山を守る。去らぬなら、打ち砕くのみ。,35,5.6,
v_guardian_mine_03,guardian,鉄の番人,mine,deep_mine_3_boss,src/events/region6_mine.js,190,……誓いは、まだ生きていたか。ならば、われは眠ろう。,26,4.6,
v_sentinel_star_01,sentinel,天球の番人,star,stargaze_3_boss,src/events/region8_star.js,152,……タチイリ、キンシ。ホシノナヲ、モタヌモノハ、トオサナイ……。,32,5.6,
